context_small,context_large,word,prev,prev_fav,fol,fol_fav,frequency,freq_log_ppm,count,frequency_ppm,hapax,stress,fav_num
de Milan: mas en los claros i,herrerias de Milan: mas en los claros ingenios de doctos varones,claros,s,no,a,yes,87.71032204306577,4.474039589636697,6,87.71032204306577,no,stressed,0
de Milan: mas en los claros i,herrerias de Milan: mas en los claros ingenios de doctos varones,claros,s,no,a,yes,87.71032204306577,4.474039589636697,6,87.71032204306577,no,stressed,1
tificio: su fuerte e claro m,: sotil artificio: su fuerte e claro metal: su modo e manera de,claro,e,yes,a,yes,336.22290116508543,5.817774336337792,23,336.22290116508543,no,stressed,9
tificio: su fuerte e claro m,: sotil artificio: su fuerte e claro metal: su modo e manera de,claro,e,yes,a,yes,336.22290116508543,5.817774336337792,23,336.22290116508543,no,stressed,0
las de su perdicion: lleuaronla e,"tose con alas de su perdicion: lleuaronla en alto, no sabe dondyr. P",lleuaronla,:,no,e,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,0
"ue ella, por ceuo la lleuan: ","rtes mas que ella, por ceuo la lleuan: en las nueuas alas estaua",lleuan,a,yes,e,yes,58.47354802871051,4.068574481528533,4,58.47354802871051,no,stressed,4
on es que aplique mi pluma e," dano: razon es que aplique mi pluma este engano, no dissimulan",pluma,i,no,u,no,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,0
on es que aplique mi pluma e," dano: razon es que aplique mi pluma este engano, no dissimulan",pluma,i,no,u,no,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,2
"estruyen: nublosas & flacas, ","mis alas destruyen: nublosas & flacas, nascidas de ogano. Prosig",flacas,&,no,a,yes,58.47354802871051,4.068574481528533,4,58.47354802871051,no,stressed,0
"estruyen: nublosas & flacas, ","mis alas destruyen: nublosas & flacas, nascidas de ogano. Prosig",flacas,&,no,a,yes,58.47354802871051,4.068574481528533,4,58.47354802871051,no,stressed,1
rga: desta manera la pluma s,"lud se alarga: desta manera la pluma se embarga, imponiendo dic",pluma,a,yes,u,no,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,0
rga: desta manera la pluma s,"lud se alarga: desta manera la pluma se embarga, imponiendo dic",pluma,a,yes,u,no,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,2
i que esta obra a mi flaco e,"nte. Y assi que esta obra a mi flaco entender fue tanto breue, ",flaco,i,no,a,yes,175.42064408613155,5.1671867701966425,12,175.42064408613155,no,stressed,0
i que esta obra a mi flaco e,"nte. Y assi que esta obra a mi flaco entender fue tanto breue, ",flaco,i,no,a,yes,175.42064408613155,5.1671867701966425,12,175.42064408613155,no,stressed,2
"de gracias, labor de plazer: "," en forro de gracias, labor de plazer: no hizo Dedalo en su offi",plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
"de gracias, labor de plazer: "," en forro de gracias, labor de plazer: no hizo Dedalo en su offi",plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
"as y lanza, azotes y clauos s"," que espinas y lanza, azotes y clauos su sangre vertieron; la su",clauos,y,no,a,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,0
intio vn ladron; nos lleue l,stado consintio vn ladron; nos lleue le ruego con los quel crey,lleue,s,no,e,yes,102.32870905024339,4.628190269463956,7,102.32870905024339,no,stressed,0
intio vn ladron; nos lleue l,stado consintio vn ladron; nos lleue le ruego con los quel crey,lleue,s,no,e,yes,102.32870905024339,4.628190269463956,7,102.32870905024339,no,stressed,2
alas de su perdicion lleuaronla e,ctose con alas de su perdicion lleuaronla en alto no sabe donde yr. ,lleuaronla,n,no,e,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,0
que ella por ceuo la lleuan e,ertes mas que ella por ceuo la lleuan en las nueuas alas estaua ,lleuan,a,yes,e,yes,58.47354802871051,4.068574481528533,4,58.47354802871051,no,stressed,4
 es que aplique a mi pluma e,ano: razon es que aplique a mi pluma este engano no despreciand,pluma,i,no,u,no,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,0
 es que aplique a mi pluma e,ano: razon es que aplique a mi pluma este engano no despreciand,pluma,i,no,u,no,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,2
destruyen nublosas e flacas n, mis alas destruyen nublosas e flacas nascidas de ogano. Prosigu,flacas,e,yes,a,yes,58.47354802871051,4.068574481528533,4,58.47354802871051,no,stressed,0
destruyen nublosas e flacas n, mis alas destruyen nublosas e flacas nascidas de ogano. Prosigu,flacas,e,yes,a,yes,58.47354802871051,4.068574481528533,4,58.47354802871051,no,stressed,1
rga: desta manera mi pluma s,lud se alarga: desta manera mi pluma se embarga imponiendo dich,pluma,i,no,u,no,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,0
rga: desta manera mi pluma s,lud se alarga: desta manera mi pluma se embarga imponiendo dich,pluma,i,no,u,no,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,2
 de gracias lauor de plazer: ,l en forro de gracias lauor de plazer: no hizo Dedalo cierto a m,plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
